Sex,Treapta,Profil,Clasa(L),Clasa(G),Age,GO OUT,Study time,Trip time,Location,Mom ed,Dad ed,School sup,Mom job,Dad job,Failiures,Health,Attendance,School extra,University,Weekly alcohol,Weekend alcohol,Parents,Internet,Relationship,Grade
feminin,Gimnaziu,,,7,13,3,5 - 10 ore,mai puțin de 15 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,altceva,altceva,0,3,1,"Da, 1 obiect",Da,,,Trăiesc împreună,Da,Nu,8.21
feminin,Gimnaziu,,,7,13,2,5 - 10 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Nu,altceva,altceva,0,3,0,Nu,Da,,,Trăiesc împreună,Da,Nu,"8,80"
feminin,Gimnaziu,,,8,14,1,mai mult de 15 ore,mai puțin de 15 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,profesoară,altceva,0,4,3,"Da, 1 obiect",Da,,,Trăiesc împreună,Da,Nu,9.53
masculin,Liceu,Uman,12,,18,5,mai puțin de 2 ore,30 minute - 1 oră,Urban,educație liceală (clasa 9-12),"educație superioară (universitate, masterat etc.)",Nu,altceva,altceva,1,4,9,Nu,Da,2,3,Trăiesc împreună,Da,Da,7.4
feminin,Liceu,Real,12,,18,4,10 - 15 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)",educație liceală (clasa 9-12),Da,antreprenor,antreprenor,0,5,13,"Da, 3+ obiecte",Da,1,2,Trăiesc împreună,Da,Nu,"8,40"
feminin,Liceu,Real,12,,18,5,2 - 5 ore,15 - 30 minute,Rural,"educație superioară (universitate, masterat etc.)",educație liceală (clasa 9-12),Da,legat de medicină,antreprenor,0,5,10,Nu,Da,2,5,Trăiesc împreună,Da,Nu,"9,80"
feminin,Liceu,Real,12,,18,5,10 - 15 ore,mai puțin de 15 minute,Urban,"educație superioară (universitate, masterat etc.)",educație liceală (clasa 9-12),Da,altceva,altceva,0,5,2,"Da, 2 obiecte",Da,1,1,Trăiesc împreună,Da,Da,8.9
masculin,Liceu,Real,12,,18,3,5 - 10 ore,30 minute - 1 oră,Rural,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,legat de medicină,legat de medicină,0,5,0,Nu,Da,1,1,Trăiesc împreună,Da,Da,"9,70"
masculin,Liceu,Real,12,,18,3,2 - 5 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,profesoară,antreprenor,0,4,40,"Da, 1 obiect",Da,1,1,Trăiesc împreună,Da,Da,8.8
masculin,Liceu,Real,11,,16,4,mai puțin de 2 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,legat de medicină,antreprenor,2,4,24,Nu,Da,2,3,Trăiesc separat,Da,Nu,8.05
masculin,Liceu,Real,10,,16,5,2 - 5 ore,30 minute - 1 oră,Rural,educație liceală (clasa 9-12),"educație superioară (universitate, masterat etc.)",Da,acasă,antreprenor,0,4,13,"Da, 1 obiect",Da,1,1,Trăiesc împreună,Da,Nu,"7,50"
feminin,Liceu,Real,10,,16,3,10 - 15 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)",educație liceală (clasa 9-12),Da,altceva,antreprenor,0,3,20,"Da, 1 obiect",Da,1,2,Trăiesc împreună,Da,Nu,"9,59"
masculin,Liceu,Real,10,,16,4,10 - 15 ore,30 minute - 1 oră,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,legat de medicină,servicii civile,0,3,6,Nu,Da,2,3,Trăiesc împreună,Da,Da,"7,70"
masculin,Liceu,Real,10,,16,3,mai puțin de 2 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,altceva,altceva,0,3,1,Nu,Da,1,1,Trăiesc împreună,Da,Nu,9.48
feminin,Liceu,Real,10,,16,3,5 - 10 ore,mai puțin de 15 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,profesoară,acasă,0,3,5,Nu,Da,1,1,Trăiesc împreună,Da,Nu,"9, 24"
feminin,Liceu,Real,10,,16,3,5 - 10 ore,mai puțin de 15 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,legat de medicină,legat de medicină,0,2,5,Nu,Da,1,1,Trăiesc împreună,Da,Nu,9.36
masculin,Liceu,Real,10,,16,3,10 - 15 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Nu,altceva,legat de medicină,0,4,0,"Da, 1 obiect",Da,1,2,Trăiesc împreună,Da,Da,"9,61"
masculin,Liceu,Real,10,,16,4,5 - 10 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,profesoară,profesoară,0,4,4,Nu,Da,1,1,Trăiesc împreună,Da,Nu,9.85
masculin,Gimnaziu,,,9,15,5,2 - 5 ore,mai puțin de 15 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,altceva,altceva,0,3,100,Nu,Da,,,Trăiesc împreună,Da,Nu,8
feminin,Gimnaziu,,,9,15,4,2 - 5 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Nu,altceva,altceva,0,4,2,Nu,Da,,,Trăiesc împreună,Da,Da,9.66
feminin,Gimnaziu,,,9,14,3,10 - 15 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,altceva,altceva,0,4,1,Nu,Da,,,Trăiesc împreună,Da,Da,8.5
feminin,Gimnaziu,,,9,15,4,5 - 10 ore,15 - 30 minute,Rural,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,altceva,antreprenor,0,4,0,"Da, 1 obiect",Da,,,Trăiesc împreună,Da,Nu,9.24
feminin,Gimnaziu,,,9,15,3,5 - 10 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,altceva,altceva,0,3,5,Nu,Da,,,Trăiesc împreună,Da,Nu,8.92
feminin,Gimnaziu,,,8,14,4,2 - 5 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)",lipsă,Da,legat de medicină,altceva,1,5,1,"Da, 2 obiecte",Da,,,Trăiesc separat,Da,Nu,7.44
feminin,Gimnaziu,,,8,14,4,2 - 5 ore,15 - 30 minute,Urban,educație liceală (clasa 9-12),lipsă,Da,altceva,antreprenor,0,4,3,"Da, 1 obiect",Da,,,Trăiesc împreună,Da,Nu,"7,32"
feminin,Gimnaziu,,,9,16,5,mai puțin de 2 ore,15 - 30 minute,Rural,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,servicii civile,antreprenor,0,1,20,"Da, 3+ obiecte",Da,,,Trăiesc împreună,Da,Nu,"8,48"
feminin,Gimnaziu,,,9,15,3,10 - 15 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,antreprenor,antreprenor,0,2,2,"Da, 2 obiecte",Da,,,Trăiesc împreună,Da,Nu,"9,04"
masculin,Gimnaziu,,,8,13,4,5 - 10 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,altceva,antreprenor,0,5,1,"Da, 1 obiect",Nu,,,Trăiesc împreună,Da,Nu,8.25
feminin,Gimnaziu,,,9,16,4,2 - 5 ore,mai puțin de 15 minute,Urban,educație liceală (clasa 9-12),"educație superioară (universitate, masterat etc.)",Da,profesoară,antreprenor,0,5,5,Nu,Da,,,Trăiesc împreună,Da,Nu,"8,63"
masculin,Liceu,Real,10,,16,4,5 - 10 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,altceva,altceva,0,5,0,"Da, 2 obiecte",Da,1,1,Trăiesc împreună,Da,Da,8.22
feminin,Liceu,Real,10,,16,4,10 - 15 ore,30 minute - 1 oră,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Nu,antreprenor,antreprenor,0,4,3,Nu,Da,1,1,Trăiesc împreună,Da,Nu,"9,20"
masculin,Liceu,Real,10,,16,4,10 - 15 ore,30 minute - 1 oră,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,legat de medicină,altceva,0,4,10,Nu,Da,1,1,Trăiesc împreună,Da,Nu,8.9
masculin,Gimnaziu,,,8,15,1,5 - 10 ore,30 minute - 1 oră,Urban,educație liceală (clasa 9-12),"educație superioară (universitate, masterat etc.)",Nu,acasă,altceva,2,5,1,Nu,Nu,,,Trăiesc împreună,Da,Nu,6.77
masculin,Gimnaziu,,,8,14,3,5 - 10 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Nu,altceva,altceva,0,5,2,"Da, 2 obiecte",Da,,,Trăiesc împreună,Da,Da,"8,15"
masculin,Liceu,Real,10,,16,3,mai mult de 15 ore,mai puțin de 15 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Nu,servicii civile,servicii civile,0,4,6,Nu,Da,1,1,Trăiesc împreună,Da,Nu,8.73
feminin,Liceu,Real,10,,16,1,mai mult de 15 ore,30 minute - 1 oră,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,legat de medicină,servicii civile,0,3,7,"Da, 2 obiecte",Da,1,1,Trăiesc împreună,Da,Nu,7.85
feminin,Liceu,Real,10,,16,5,5 - 10 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Nu,acasă,altceva,0,5,6,Nu,Da,1,2,Trăiesc împreună,Da,Nu,8.43
masculin,Liceu,Real,10,,16,3,5 - 10 ore,15 - 30 minute,Urban,educație liceală (clasa 9-12),"educație superioară (universitate, masterat etc.)",Da,acasă,altceva,0,5,1,Nu,Da,1,3,Trăiesc împreună,Da,Nu,8.05
feminin,Liceu,Real,10,,16,5,5 - 10 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,altceva,altceva,0,5,1,Nu,Da,1,2,Trăiesc împreună,Da,Da,9.31
masculin,Liceu,Real,10,,17,4,5 - 10 ore,15 - 30 minute,Urban,educație liceală (clasa 9-12),"educație superioară (universitate, masterat etc.)",Da,legat de medicină,antreprenor,0,4,15,Nu,Da,1,2,Trăiesc împreună,Da,Nu,9.14
feminin,Liceu,Real,12,,18,3,5 - 10 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,antreprenor,antreprenor,0,4,12,"Da, 3+ obiecte",Da,1,3,Trăiesc împreună,Da,Da,"9,54"
masculin,Liceu,Uman,12,,18,4,mai puțin de 2 ore,mai puțin de 15 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Nu,acasă,servicii civile,0,4,50,Nu,Da,1,3,Trăiesc împreună,Da,Da,8.4
feminin,Gimnaziu,,,9,14,1,10 - 15 ore,30 minute - 1 oră,Urban,"educație superioară (universitate, masterat etc.)",educație liceală (clasa 9-12),Da,acasă,altceva,0,3,2,"Da, 3+ obiecte",Da,,,Trăiesc împreună,Da,Nu,9.2
feminin,Liceu,Real,11,,17,4,5 - 10 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,servicii civile,legat de medicină,0,4,1,"Da, 1 obiect",Da,1,1,Trăiesc împreună,Da,Da,9.4
feminin,Gimnaziu,,,9,15,3,10 - 15 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,servicii civile,altceva,0,5,5,"Da, 2 obiecte",Da,,,Trăiesc împreună,Da,Nu,7.72
feminin,Gimnaziu,,,9,15,2,mai mult de 15 ore,30 minute - 1 oră,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,acasă,altceva,0,5,2,"Da, 2 obiecte",Da,,,Trăiesc împreună,Da,Nu,10
masculin,Gimnaziu,,,9,15,4,5 - 10 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,servicii civile,legat de medicină,0,5,4,Nu,Da,,,Trăiesc împreună,Da,Da,8.94
masculin,Gimnaziu,,,9,15,4,2 - 5 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,legat de medicină,legat de medicină,0,5,2,"Da, 1 obiect",Da,,,Trăiesc împreună,Da,Nu,9.44
masculin,Gimnaziu,,,9,15,1,10 - 15 ore,30 minute - 1 oră,Rural,"educație superioară (universitate, masterat etc.)",educație liceală (clasa 9-12),Nu,altceva,altceva,0,4,9,"Da, 1 obiect",Nu,,,Trăiesc împreună,Da,Nu,8
feminin,Gimnaziu,,,9,15,4,mai mult de 15 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)",educație liceală (clasa 9-12),Da,profesoară,altceva,0,5,3,"Da, 2 obiecte",Da,,,Trăiesc împreună,Da,Nu,9.22
masculin,Gimnaziu,,,9,16,4,2 - 5 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,servicii civile,servicii civile,0,5,0,"Da, 2 obiecte",Da,,,Trăiesc împreună,Da,Da,"8,40"
feminin,Gimnaziu,,,9,14,3,5 - 10 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,altceva,antreprenor,0,4,1,"Da, 1 obiect",Da,,,Trăiesc împreună,Da,Nu,9.95
masculin,Liceu,Real,10,,16,4,2 - 5 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Nu,altceva,antreprenor,0,5,10,"Da, 1 obiect",Da,1,1,Trăiesc împreună,Da,Nu,7.81
feminin,Liceu,Real,11,,17,4,2 - 5 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,servicii civile,legat de medicină,0,4,3,"Da, 1 obiect",Da,1,1,Trăiesc împreună,Da,Nu,"9,24"
feminin,Gimnaziu,,,7,13,5,5 - 10 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,altceva,legat de medicină,0,5,0,Nu,Da,,,Trăiesc împreună,Da,Nu,9.81
masculin,Gimnaziu,,,7,13,4,2 - 5 ore,15 - 30 minute,Urban,educație gimnazială (clasa 5-9),educație gimnazială (clasa 5-9),Da,altceva,altceva,1,5,1,"Da, 1 obiect",Da,,,Trăiesc împreună,Da,Nu,7.8
feminin,Gimnaziu,,,7,13,4,5 - 10 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,altceva,altceva,0,5,0,Nu,Da,,,Trăiesc împreună,Da,Nu,9.9
feminin,Gimnaziu,,,7,13,4,5 - 10 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,legat de medicină,servicii civile,0,5,0,"Da, 1 obiect",Da,,,Trăiesc împreună,Da,Nu,9.84
masculin,Gimnaziu,,,7,13,3,mai mult de 15 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,altceva,antreprenor,0,5,1,"Da, 1 obiect",Da,,,Trăiesc împreună,Da,Da,9.51
masculin,Gimnaziu,,,9,15,5,mai mult de 15 ore,30 minute - 1 oră,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,antreprenor,altceva,0,5,2,Nu,Da,,,Trăiesc împreună,Da,Nu,9.89
feminin,Gimnaziu,,,7,13,3,2 - 5 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,altceva,altceva,0,5,4,Nu,Da,,,Trăiesc împreună,Da,Nu,"9,20"
masculin,Liceu,Real,12,,18,3,5 - 10 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,profesoară,acasă,0,5,0,Nu,Da,1,1,Trăiesc împreună,Da,Nu,9.64
feminin,Gimnaziu,,,8,13,1,10 - 15 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,acasă,altceva,0,3,3,Nu,Da,,,Trăiesc împreună,Da,Nu,9.89
feminin,Gimnaziu,,,7,13,3,10 - 15 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Nu,altceva,altceva,0,4,3,Nu,Nu,,,Trăiesc împreună,Da,Da,"9,69"
masculin,Liceu,Real,12,,18,3,mai puțin de 2 ore,mai puțin de 15 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,legat de medicină,legat de medicină,0,2,12,"Da, 1 obiect",Da,1,1,Trăiesc împreună,Da,Nu,8.94
feminin,Liceu,Real,11,,17,3,mai mult de 15 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)",educație liceală (clasa 9-12),Nu,antreprenor,altceva,0,4,15,Nu,Da,2,3,Trăiesc împreună,Da,Nu,9.31
feminin,Liceu,Real,11,,17,3,2 - 5 ore,30 minute - 1 oră,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,profesoară,altceva,0,4,12,Nu,Da,1,1,Trăiesc împreună,Da,Nu,8.96
feminin,Liceu,Real,11,,17,2,5 - 10 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Nu,antreprenor,antreprenor,0,4,20,"Da, 1 obiect",Da,1,1,Trăiesc împreună,Da,Nu,"9,50"
feminin,Liceu,Real,11,,17,4,5 - 10 ore,mai puțin de 15 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,servicii civile,altceva,1,5,4,Nu,Da,1,2,Trăiesc separat,Da,Nu,"9,29"
feminin,Liceu,Real,10,,17,3,2 - 5 ore,mai puțin de 15 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,profesoară,altceva,0,4,0,Nu,Da,1,1,Trăiesc împreună,Da,Nu,9.3
feminin,Liceu,Real,11,,17,4,mai mult de 15 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,servicii civile,altceva,0,5,10,"Da, 2 obiecte",Da,1,1,Trăiesc împreună,Da,Da,9.54
feminin,Liceu,Real,11,,17,5,10 - 15 ore,15 - 30 minute,Urban,educație liceală (clasa 9-12),"educație superioară (universitate, masterat etc.)",Da,altceva,altceva,0,4,0,"Da, 2 obiecte",Da,1,1,Trăiesc împreună,Da,Nu,"9,35"
feminin,Liceu,Real,11,,17,5,5 - 10 ore,30 minute - 1 oră,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,altceva,altceva,0,4,5,"Da, 1 obiect",Da,3,4,Trăiesc separat,Da,Nu,8.15
feminin,Liceu,Real,11,,17,4,5 - 10 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,altceva,altceva,0,5,7,Nu,Da,1,1,Trăiesc separat,Da,Nu,"8,8"
masculin,Liceu,Real,11,,17,2,mai puțin de 2 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)",educație liceală (clasa 9-12),Da,profesoară,altceva,0,3,10,Nu,Da,2,2,Trăiesc împreună,Da,Nu,8.3
masculin,Liceu,Real,11,,17,3,mai mult de 15 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,altceva,altceva,0,5,0,Nu,Da,1,1,Trăiesc împreună,Da,Nu,9.86
feminin,Liceu,Real,11,,17,2,10 - 15 ore,15 - 30 minute,Rural,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,antreprenor,altceva,0,3,5,"Da, 1 obiect",Da,2,2,Trăiesc împreună,Da,Da,9.44
feminin,Liceu,Real,11,,16,5,mai puțin de 2 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,legat de medicină,altceva,0,1,10,"Da, 3+ obiecte",Da,3,3,Trăiesc împreună,Da,Da,"8,21"
feminin,Liceu,Real,11,,17,3,mai mult de 15 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,altceva,altceva,0,4,12,Nu,Da,1,1,Trăiesc împreună,Da,Nu,9.69
masculin,Liceu,Real,11,,17,4,5 - 10 ore,mai puțin de 15 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,antreprenor,antreprenor,0,5,8,"Da, 2 obiecte",Da,1,2,Trăiesc împreună,Da,Nu,8.16
feminin,Liceu,Real,11,,17,2,5 - 10 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,altceva,altceva,0,2,10,"Da, 2 obiecte",Da,3,3,Trăiesc împreună,Da,Da,8
masculin,Liceu,Real,11,,17,4,5 - 10 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Nu,antreprenor,antreprenor,0,5,15,Nu,Da,1,1,Trăiesc împreună,Da,Nu,8
feminin,Liceu,Real,12,,18,3,mai mult de 15 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,legat de medicină,antreprenor,0,4,0,Nu,Da,2,2,Trăiesc împreună,Da,Da,9
masculin,Liceu,Real,10,,17,2,5 - 10 ore,mai puțin de 15 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,antreprenor,antreprenor,0,5,1,Nu,Da,1,1,Trăiesc împreună,Da,Da,9.43
