Sex,Treapta,Profil,Clasa(L),Clasa(G),Age,GO OUT,Study time,Trip time,Location,Mom ed,Dad ed,School sup,Mom job,Dad job,Failiures,Health,Attendance,School extra,University,Weekly alcohol,Weekend alcohol,Parents,Internet,Relationship,Grade
feminin,Liceu,Real,10,,16,4,2 - 5 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,antreprenor,antreprenor,0,2,30,Nu,Da,2,4,Trăiesc separat,Da,Da,7.8
feminin,Liceu,Real,10,,16,4,10 - 15 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,acasă,antreprenor,0,4,9,Nu,Da,1,3,Trăiesc separat,Da,Da,"8,90"
masculin,Liceu,Real,10,,16,4,5 - 10 ore,15 - 30 minute,Rural,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,acasă,altceva,0,5,7,"Da, 1 obiect",Da,1,1,Trăiesc împreună,Da,Nu,7.8
feminin,Gimnaziu,,,6,12,5,10 - 15 ore,15 - 30 minute,Rural,educație gimnazială (clasa 5-9),educație gimnazială (clasa 5-9),Da,altceva,altceva,0,3,2,Nu,Da,,,Trăiesc împreună,Da,Nu,8.33
feminin,Liceu,Uman,11,,17,3,2 - 5 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Nu,antreprenor,servicii civile,0,5,5,Nu,Da,1,1,Trăiesc împreună,Da,Nu,9.45
feminin,Gimnaziu,,,9,15,3,2 - 5 ore,30 minute - 1 oră,Urban,educație liceală (clasa 9-12),"educație superioară (universitate, masterat etc.)",Da,profesoară,altceva,0,5,9,"Da, 1 obiect",Da,,,Trăiesc împreună,Da,Nu,8.5
masculin,Gimnaziu,,,5,11,3,10 - 15 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Nu,altceva,altceva,0,5,2,Nu,Da,,,Trăiesc împreună,Da,Nu,8.32
feminin,Liceu,Real,11,,17,4,10 - 15 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,altceva,antreprenor,0,5,2,"Da, 1 obiect",Da,1,1,Trăiesc împreună,Da,Nu,9.3
masculin,Liceu,Real,11,,17,3,10 - 15 ore,30 minute - 1 oră,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,altceva,antreprenor,0,4,0,"Da, 2 obiecte",Da,1,1,Trăiesc împreună,Da,Nu,8.99
feminin,Gimnaziu,,,7,13,5,10 - 15 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,profesoară,altceva,0,5,0,Nu,Da,,,Trăiesc împreună,Da,Nu,9.97
feminin,Liceu,Uman,12,,18,2,10 - 15 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,acasă,legat de medicină,0,4,0,Nu,Da,1,1,Trăiesc împreună,Da,Nu,8.75
masculin,Liceu,Real,10,,16,3,mai puțin de 2 ore,15 - 30 minute,Urban,educație gimnazială (clasa 5-9),"educație superioară (universitate, masterat etc.)",Nu,altceva,altceva,2,4,2,Nu,Da,1,1,Trăiesc împreună,Da,Nu,"8,32"
masculin,Gimnaziu,,,7,12,4,10 - 15 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Nu,legat de medicină,legat de medicină,0,5,2,Nu,Da,,,Trăiesc împreună,Da,Nu,8.75
feminin,Liceu,Real,12,,18,2,2 - 5 ore,mai puțin de 15 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,altceva,altceva,0,4,14,Nu,Da,1,1,Trăiesc împreună,Da,Nu,9.89
feminin,Liceu,Uman,12,,18,2,5 - 10 ore,15 - 30 minute,Urban,educație liceală (clasa 9-12),"educație superioară (universitate, masterat etc.)",Da,legat de medicină,altceva,0,3,196,"Da, 1 obiect",Da,1,1,Trăiesc împreună,Da,Nu,9.5
feminin,Gimnaziu,,,9,15,1,mai mult de 15 ore,mai puțin de 15 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,altceva,altceva,0,5,2,Nu,Da,,,Trăiesc împreună,Da,Nu,8.57
masculin,Gimnaziu,,,5,12,3,mai puțin de 2 ore,30 minute - 1 oră,Rural,"educație superioară (universitate, masterat etc.)",educație primară (clasa 1-4),Da,profesoară,altceva,0,4,20,"Da, 3+ obiecte",Da,,,Trăiesc împreună,Nu,Da,8.75
feminin,Gimnaziu,,,7,13,2,10 - 15 ore,30 minute - 1 oră,Rural,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,altceva,altceva,0,5,0,"Da, 1 obiect",Da,,,Trăiesc împreună,Da,Nu,"9,14"
masculin,Liceu,Uman,11,,16,1,mai puțin de 2 ore,30 minute - 1 oră,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,altceva,altceva,0,5,17,Nu,Da,1,2,Trăiesc împreună,Da,Da,6.77
masculin,Gimnaziu,,,6,11,3,2 - 5 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,servicii civile,antreprenor,0,5,0,Nu,Da,,,Trăiesc împreună,Da,Nu,9.64
feminin,Gimnaziu,,,7,13,3,10 - 15 ore,30 minute - 1 oră,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,legat de medicină,legat de medicină,0,5,1,Nu,Da,,,Trăiesc împreună,Da,Nu,9.56
feminin,Gimnaziu,,,7,13,2,10 - 15 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,legat de medicină,legat de medicină,0,4,2,Nu,Da,,,Trăiesc împreună,Da,Nu,9.6
feminin,Gimnaziu,,,7,13,3,5 - 10 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Nu,altceva,altceva,0,5,3,Nu,Da,,,Trăiesc împreună,Da,Nu,9.69
feminin,Gimnaziu,,,7,13,4,5 - 10 ore,30 minute - 1 oră,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,altceva,servicii civile,0,5,1,"Da, 1 obiect",Da,,,Trăiesc împreună,Da,Nu,9.35
feminin,Gimnaziu,,,7,13,2,10 - 15 ore,mai puțin de 15 minute,Urban,"educație superioară (universitate, masterat etc.)",educație liceală (clasa 9-12),Nu,antreprenor,servicii civile,0,4,0,"Da, 1 obiect",Da,,,Trăiesc împreună,Da,Nu,9.33
feminin,Liceu,Uman,10,,16,3,10 - 15 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,profesoară,antreprenor,0,4,2,Nu,Da,1,2,Trăiesc împreună,Da,Nu,9.52
masculin,Liceu,Real,11,,17,4,mai mult de 15 ore,mai puțin de 15 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,altceva,servicii civile,0,4,0,"Da, 1 obiect",Da,1,1,Trăiesc împreună,Da,Nu,9.14
masculin,Liceu,Real,10,,16,3,2 - 5 ore,30 minute - 1 oră,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,altceva,antreprenor,0,4,1,"Da, 2 obiecte",Da,1,1,Trăiesc împreună,Da,Nu,9.11
feminin,Gimnaziu,,,8,15,4,5 - 10 ore,30 minute - 1 oră,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Nu,altceva,altceva,1,1,10,Nu,Da,,,Trăiesc împreună,Da,Nu,"8,28"
feminin,Gimnaziu,,,9,15,4,5 - 10 ore,15 - 30 minute,Urban,educație gimnazială (clasa 5-9),educație liceală (clasa 9-12),Da,altceva,altceva,0,2,13,Nu,Da,,,Trăiesc împreună,Da,Da,"8,91"
feminin,Gimnaziu,,,9,16,3,2 - 5 ore,30 minute - 1 oră,Urban,educație liceală (clasa 9-12),"educație superioară (universitate, masterat etc.)",Nu,acasă,altceva,0,3,4,Nu,Da,,,Trăiesc separat,Da,Nu,"9,42"
feminin,Gimnaziu,,,7,13,3,5 - 10 ore,30 minute - 1 oră,Urban,educație primară (clasa 1-4),lipsă,Nu,legat de medicină,legat de medicină,1,2,1,Nu,Da,,,Trăiesc împreună,Da,Nu,8.03
feminin,Gimnaziu,,,7,13,3,2 - 5 ore,mai puțin de 15 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Nu,acasă,antreprenor,0,4,1,Nu,Da,,,Trăiesc împreună,Da,Nu,10 fr
feminin,Liceu,Uman,10,,16,4,10 - 15 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,profesoară,antreprenor,0,5,14,"Da, 1 obiect",Da,1,1,Trăiesc împreună,Da,Nu,"9,52"
masculin,Liceu,Real,11,,18,4,5 - 10 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,servicii civile,altceva,0,5,2,"Da, 1 obiect",Da,1,2,Trăiesc împreună,Da,Da,8.5
masculin,Gimnaziu,,,9,16,3,10 - 15 ore,30 minute - 1 oră,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,altceva,altceva,0,3,2,"Da, 3+ obiecte",Da,,,Trăiesc împreună,Da,Nu,8
masculin,Gimnaziu,,,6,12,1,5 - 10 ore,30 minute - 1 oră,Rural,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Nu,acasă,altceva,0,5,0,Nu,Da,,,Trăiesc împreună,Da,Nu,10
feminin,Gimnaziu,,,6,12,2,2 - 5 ore,15 - 30 minute,Urban,educație gimnazială (clasa 5-9),"educație superioară (universitate, masterat etc.)",Nu,altceva,altceva,0,3,11,Nu,Da,,,Trăiesc împreună,Da,Nu,9.5
masculin,Gimnaziu,,,6,12,2,10 - 15 ore,30 minute - 1 oră,Urban,educație gimnazială (clasa 5-9),"educație superioară (universitate, masterat etc.)",Da,altceva,profesoară,0,5,0,"Da, 2 obiecte",Da,,,Trăiesc împreună,Da,Nu,"8,85"
feminin,Gimnaziu,,,8,14,1,5 - 10 ore,30 minute - 1 oră,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,altceva,altceva,0,4,2,Nu,Da,,,Trăiesc împreună,Da,Nu,9.35
masculin,Liceu,Real,10,,16,5,mai puțin de 2 ore,15 - 30 minute,Rural,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,altceva,altceva,0,4,8,Nu,Da,1,1,Trăiesc împreună,Da,Nu,8.69
feminin,Gimnaziu,,,9,14,5,mai mult de 15 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Nu,profesoară,legat de medicină,0,4,3,Nu,Da,,,Trăiesc împreună,Da,Nu,9.65
